0,1
treating diabetes elderly special considerations management diabetes elderly patients generally follows lines younger patients improvement blood glucose status diet oral hypoglycemic insulin therapy required older patients fragile however caution must used therapeutic interventions,C19
antidiabetic agents although either insulin oral hypoglycemics may used conjunction diet exercise management type ii diabetes drug therapy type diabetes involves insulin c peptide levels tested assess whether patient remaining pancreatic endocrine function patients started insulin first time receive single injection intermediate acting insulin human origin dose approximately u kg thereafter fasting mid morning mid afternoon bedtime possibly early morning blood sugars examined periodically determine insulin dose needs increased decreased split patient needs two insulin regimen intensive insulin therapy become commonplace control plasma glucose levels majority patients receiving insulin therapy proper patient education regarding insulin regimen injection techniques blood glucose monitoring well diet exercise foot care essential patient diabetes controlled adequately guidelines adequate glycemic control outlined table recent evidence suggests tight control plasma glucose levels may decrease macrovascular complications diabetes although also evidence suggest onset microvascular complications might delayed strict glycemic control data conflicting benefits strict control must weighted problems hypoglycemia experienced many patients attempt tight control blood glucose levels biguanide compounds available europe sulfonylureas comprise class oral agents united states commercially available treatment type ii diabetes two generations drugs reflect potency possible side effect profiles first generation agents tolbutamide chlorpropamide widely prescribed tolbutamide weakest sulfonylureas possibly making good drug initiating oral therapy elderly chlorpropamide becoming less popular agent long duration action increased incidence side effects second generation agents glyburide offers better dosing schedule daily compared twice daily glipizide however glyburide may produce greater incidence hypoglycemia particularly elderly patients significant renal impairment good studies comparing two drugs recommending one difficult drug interactions numerous first generation drugs less newer second generation agents abstract truncated words,C19
effects repetitive administration corticotropin releasing hormone combined lysine vasopressin plasma adrenocorticotropin cortisol levels secondary adrenocortical insufficiency examine functioning hypothalamo pituitary adrenocortical axis secondary adrenocortical insufficiency administered micrograms synthetic human crh iv plus u lysine vasopressin lvp im three times daily consecutive days changes plasma acth cortisol levels administration response insulin tolerance test itt conducted administration determined three patients isolated acth deficiency basal plasma acth cortisol levels undetectablly low response noted itt crh lvp administration throughout observation period four patients adrenocortical insufficiency undergone successful transsphenoidal microadenomectomy cushing disease six patients undergone curative unilateral adrenalectomy cushing syndrome basal plasma acth levels low responded considerably stimulation tests along days crh lvp stimulation however neither peak time integrated acth response significantly enhanced variability responses among patients compared acth response last day crh lvp stimulation subsequent itt tended induce lower acth response post cushing disease patients higher response post cushing syndrome patients regarding plasma cortisol levels basal peak integrated responses tended increase daily crh lvp administration conversely itt repetitive crh lvp administration induced higher cortisol response test crh lvp administration post cushing disease patients serious complications noted patients treatment present findings indicate repetitive administration crh combination lvp safe valuable provocation test examine pituitary acth reserve integrity pituitary adrenocortical axis isolated acth deficiency usually due defect pituitary level respect adrenocortical responsiveness post cushing disease patients show better accumulation provocative effect post cushing syndrome patients hypothalamic pituitary dysfunction responsible adrenal hypofunction patients hypercortisolemia post cushing syndrome patients especially short period hypercortisolemia appeared less impairment hypothalamic acth releasing activity post cushing disease patients,C19
minimal model analysis intravenous glucose tolerance test derived insulin sensitivity diabetic subjects although minimal model analysis frequently sampled iv glucose tolerance tests fsigts measure insulin sensitivity well recognized application limited need endogenous insulin secretion present study determined whether use exogenous insulin could permit minimal model assessment insulin sensitivity si extended diabetic subjects normal volunteers separate fsigt assessments supplemented tolbutamide insulin accelerate glucose disappearance diabetics fsigt supplemented insulin strong highly significant correlation two assessments normal subjects r p less rank order si generally maintained two assessments fold range si however insulin determined si lower vs x min microu microl p less diabetic subjects markedly lower insulin sensitivity controls si p less across subjects level fasting serum glucose correlated inversely insulin sensitivity r p less acute insulin responses r p less however insulin sensitivity diabetic subjects little insulin secretion comparable insulin sensitivity diabetic subjects near normal responses subjects fasting hyperglycemia significant correlations insulin sensitivity body mass index percent fat mass waist hip ratio p less among female subjects also strong correlation insulin sensitivity upper body obesity measured waist hip ratio r p less model parameters also permitted glucose uptake estimated diabetic vs normal subjects comparable hyperglycemia mmol l total glucose uptake decreased diabetic subjects vs mg min kg normals p less insulin dependent glucose uptake diminished greater extent vs noninsulin independent glucose uptake vs p less administration insulin permits minimal model fsigt analysis applied diabetic well normal subjects yielding information insulin noninsulin mediated glucose uptake well insulin sensitivity insulin secretion,C19
advanced protein glycosylation induces transendothelial human monocyte chemotaxis secretion platelet derived growth factor role vascular disease diabetes aging diabetes aging commonly accompanied arterio atherosclerosis infiltration arterial subendothelial intima macrophages monocytes important early event preceding development atheromatous lesions macrophages known produce mitogenic factors early atherosclerotic lesions previously shown time vascular matrix accumulates proteins nonenzymatically modified advanced glycosylation end products ages view fact macrophages monocytes age specific receptors associated expression several growth factors investigated possibility ages mediate initial monocyte vessel wall interactions occur overt formation vascular lesions study demonstrates vitro vivo formed ages chemotactic human blood monocytes ii sub endothelial ages selectively induce monocyte migration across intact endothelial cell monolayer iii subsequent monocyte interaction age containing matrix results expression platelet derived growth factor results support existing hypothesis vivo forming glucose derived protein adducts act signals normal turnover senescent tissue protein means age specific receptor system time dependent glucose induced deposition ages matrix proteins may promote monocyte infiltration subendothelium subsequent age triggered macrophage activation consequent elaboration proliferative factors may normally coordinate remodeling may also lead diverse pathogenic changes typical arterio atherosclerosis diabetic aging populations,C19
iodine selenium deficiency associated cretinism northern zaire selenium status determined endemic goiter area control area zaire compared reference values noniodine deficient area serum selenium subjects living core northern zaire endemic goiter belt karawa villages seven times lower school children similarly low cretins erythrocyte glutathione peroxidase rbc gpx five times lower schoolchildren still two times lower cretins p less severely iodine deficient city endemia businga selenium status moderately altered rbc gpx activity linearly associated serum selenium concentration value nmol l leveled approximately u g hb greater selenium concentration karawa villages selenium supplementation normalized serum selenium rbc gpx combined iodine selenium deficiency could associated elevated frequency endemic myxedematous cretinism central africa,C19
management primary hypothyroidism primary hypothyroidism common condition requiring lifelong treatment monitoring type amount thyroid hormone replacement selection laboratory tests timing office visits important optimizing patient well reducing costs medical care aim treatment bring patient euthyroid state currently defined normal serum concentration tsh recently developed sensitive specific immunometric assays accomplished titrating dose levothyroxine changing often week intervals indicator euthyroidism sensitive tsh assay advantages tests serum ft ft tsh ria independent tbg changes result pregnancy birth control pills estrogen replacement spuriously elevated levothyroxine treatment test detects subclinical hypothyroidism subclinical hyperthyroidism additional serum tests usually necessary advantages special circumstances optimal replacement dose determined monitoring done yearly even bi yearly depending adequacy patient education patient compliance,C19
interrelationships age thyroid volume thyroid nodularity thyroid function patients sporadic nontoxic goiter purpose test hypothesis natural history sporadic nontoxic goiter sng diffuse goiter precedes multinodular goiter gradual development autonomous thyroid function patients methods cross sectional survey consecutive patients sng seven male female performed thyroid volume measured ultrasonography plasma thyroid stimulating hormone tsh sensitive assay tsh immunoradiometric assay results patients multinodular goiter older larger thyroid volume patients diffuse uninodular goiter plasma free thyroxine total triiodothyronine higher plasma tsh lower patients normal subjects free higher subgroup patients multinodular goiter decreased tsh response thyrotropin releasing hormone plasma tsh mu l negatively related thyroid volume x ml x r p less thyroid volume ml positively related age x years x r p less duration goiter x years x r p less annual increase thyroid volume calculated conclusion data suggest continuous growth sng provide support concept increasing thyroid nodularity autonomy thyroid function related increasing thyroid volume natural history disorder,C19
structural abnormality ldl diabetic patients revealed resonance raman spectroscopy resonance raman spectra low density lipoprotein ldl isolated plasma diabetic patients age range yr mean age yr age sex matched control subjects recorded cm region function temperature degrees c nondiabetic diabetic ldl yield spectra characterized two major bands near cm due carotenoid component lipoproteins relative intensity cm bands assigned c c c c stretchings respectively e ratio plotted temperature nondiabetic control subjects plots showed inflection temperature range degrees c corresponded thermal transition ldl transition abolished ldl diabetic patients p less suggesting altered lipid structure transition degrees c also abolished vitro glycosylated nondiabetic ldl lipid analysis show appreciable change nondiabetic control subjects diabetic patients change thermal transition properties diabetic ldl attributed organizational change ldl protein,C19
defective fasciculata zone function mechanism glucocorticoid remediable aldosteronism glucocorticoid remediable aldosteronism characterized unusual sensitivity aldosterone secretion acth suppressibility glucocorticoid continued stimulability exogenous acth provided basis diagnosis treatment disorder qualitative biochemical abnormality consisting marked overproduction products cortisol c oxidation pathway hydroxycortisol oxocortisol examined patients disorder compared normal c oxidation products corticosterone aldosterone hydroxycorticosterone technique based stable isotope dilution mass fragmentography measured tetrahydro urinary metabolites aldosterone hydroxycorticosterone oxocortisol unmetabolized hydroxycortisol c oxygenated corticosteroids markedly elevated untreated state showed rapid parallel suppression low doses glucocorticoid proportional changes c oxygenated cortisols together aldosterone hydroxycorticosterone suggested mechanism common catalytic site cytochrome p methyl oxidase serving cortisol corticosterone substrates acth dependent secretion c oxidation products corticosterone cortisol disorder attributed acquisition methyl oxidase activity fasciculata zone abundant pools precursors,C19
