content,labels,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
treating diabetes elderly special considerations management diabetes elderly patients generally follows lines younger patients improvement blood glucose status diet oral hypoglycemic insulin therapy required older patients fragile however caution must used therapeutic interventions,C19,0.004418851,0.003919741,0.008245117,0.0024827719,0.006160266,0.005702757,0.4282605,0.004155541,0.0031946322,0.00434178,0.021245468,0.009088731,0.052882552,0.010160303,0.0038858259,0.049663577,0.14178294,0.004550684,0.0050315117,0.14317395,0.081537545,0.0015689733,0.004545951
antidiabetic agents although either insulin oral hypoglycemics may used conjunction diet exercise management type ii diabetes drug therapy type diabetes involves insulin c peptide levels tested assess whether patient remaining pancreatic endocrine function patients started insulin first time receive single injection intermediate acting insulin human origin dose approximately u kg thereafter fasting mid morning mid afternoon bedtime possibly early morning blood sugars examined periodically determine insulin dose needs increased decreased split patient needs two insulin regimen intensive insulin therapy become commonplace control plasma glucose levels majority patients receiving insulin therapy proper patient education regarding insulin regimen injection techniques blood glucose monitoring well diet exercise foot care essential patient diabetes controlled adequately guidelines adequate glycemic control outlined table recent evidence suggests tight control plasma glucose levels may decrease macrovascular complications diabetes although also evidence suggest onset microvascular complications might delayed strict glycemic control data conflicting benefits strict control must weighted problems hypoglycemia experienced many patients attempt tight control blood glucose levels biguanide compounds available europe sulfonylureas comprise class oral agents united states commercially available treatment type ii diabetes two generations drugs reflect potency possible side effect profiles first generation agents tolbutamide chlorpropamide widely prescribed tolbutamide weakest sulfonylureas possibly making good drug initiating oral therapy elderly chlorpropamide becoming less popular agent long duration action increased incidence side effects second generation agents glyburide offers better dosing schedule daily compared twice daily glipizide however glyburide may produce greater incidence hypoglycemia particularly elderly patients significant renal impairment good studies comparing two drugs recommending one difficult drug interactions numerous first generation drugs less newer second generation agents abstract truncated words,C19,0.00090722897,0.026014037,0.001694826,0.03205912,0.0012632876,0.0066877822,0.39555556,0.013999632,0.0006558862,0.0052805725,0.029135637,0.021150382,0.04741604,0.0022355814,0.013952473,0.067290656,0.07407732,0.0009342954,0.005405159,0.05892613,0.1940994,0.00032212405,0.00093686744
effects repetitive administration corticotropin releasing hormone combined lysine vasopressin plasma adrenocorticotropin cortisol levels secondary adrenocortical insufficiency examine functioning hypothalamo pituitary adrenocortical axis secondary adrenocortical insufficiency administered micrograms synthetic human crh iv plus u lysine vasopressin lvp im three times daily consecutive days changes plasma acth cortisol levels administration response insulin tolerance test itt conducted administration determined three patients isolated acth deficiency basal plasma acth cortisol levels undetectablly low response noted itt crh lvp administration throughout observation period four patients adrenocortical insufficiency undergone successful transsphenoidal microadenomectomy cushing disease six patients undergone curative unilateral adrenalectomy cushing syndrome basal plasma acth levels low responded considerably stimulation tests along days crh lvp stimulation however neither peak time integrated acth response significantly enhanced variability responses among patients compared acth response last day crh lvp stimulation subsequent itt tended induce lower acth response post cushing disease patients higher response post cushing syndrome patients regarding plasma cortisol levels basal peak integrated responses tended increase daily crh lvp administration conversely itt repetitive crh lvp administration induced higher cortisol response test crh lvp administration post cushing disease patients serious complications noted patients treatment present findings indicate repetitive administration crh combination lvp safe valuable provocation test examine pituitary acth reserve integrity pituitary adrenocortical axis isolated acth deficiency usually due defect pituitary level respect adrenocortical responsiveness post cushing disease patients show better accumulation provocative effect post cushing syndrome patients hypothalamic pituitary dysfunction responsible adrenal hypofunction patients hypercortisolemia post cushing syndrome patients especially short period hypercortisolemia appeared less impairment hypothalamic acth releasing activity post cushing disease patients,C19,0.001040408,0.00092273456,0.0019409584,0.0055780453,0.006457719,0.001343282,0.11302202,0.011028154,0.0007520389,0.0010220855,0.024816899,0.0021434939,0.031223316,0.0024690032,0.005918416,0.021734381,0.11832934,0.0010712629,0.0011844531,0.047297437,0.5992614,0.00036934734,0.0010738301
minimal model analysis intravenous glucose tolerance test derived insulin sensitivity diabetic subjects although minimal model analysis frequently sampled iv glucose tolerance tests fsigts measure insulin sensitivity well recognized application limited need endogenous insulin secretion present study determined whether use exogenous insulin could permit minimal model assessment insulin sensitivity si extended diabetic subjects normal volunteers separate fsigt assessments supplemented tolbutamide insulin accelerate glucose disappearance diabetics fsigt supplemented insulin strong highly significant correlation two assessments normal subjects r p less rank order si generally maintained two assessments fold range si however insulin determined si lower vs x min microu microl p less diabetic subjects markedly lower insulin sensitivity controls si p less across subjects level fasting serum glucose correlated inversely insulin sensitivity r p less acute insulin responses r p less however insulin sensitivity diabetic subjects little insulin secretion comparable insulin sensitivity diabetic subjects near normal responses subjects fasting hyperglycemia significant correlations insulin sensitivity body mass index percent fat mass waist hip ratio p less among female subjects also strong correlation insulin sensitivity upper body obesity measured waist hip ratio r p less model parameters also permitted glucose uptake estimated diabetic vs normal subjects comparable hyperglycemia mmol l total glucose uptake decreased diabetic subjects vs mg min kg normals p less insulin dependent glucose uptake diminished greater extent vs noninsulin independent glucose uptake vs p less administration insulin permits minimal model fsigt analysis applied diabetic well normal subjects yielding information insulin noninsulin mediated glucose uptake well insulin sensitivity insulin secretion,C19,0.0009487826,0.0008416175,0.05885489,0.00053308223,0.0013211498,0.0012244533,0.10977436,0.00089261483,0.0006859276,0.00093223463,0.040667366,0.008553936,0.22383872,0.0022756334,0.00085691304,0.3323221,0.01585214,0.016880162,0.0010803286,0.041490678,0.1388536,0.00033687823,0.0009824452
advanced protein glycosylation induces transendothelial human monocyte chemotaxis secretion platelet derived growth factor role vascular disease diabetes aging diabetes aging commonly accompanied arterio atherosclerosis infiltration arterial subendothelial intima macrophages monocytes important early event preceding development atheromatous lesions macrophages known produce mitogenic factors early atherosclerotic lesions previously shown time vascular matrix accumulates proteins nonenzymatically modified advanced glycosylation end products ages view fact macrophages monocytes age specific receptors associated expression several growth factors investigated possibility ages mediate initial monocyte vessel wall interactions occur overt formation vascular lesions study demonstrates vitro vivo formed ages chemotactic human blood monocytes ii sub endothelial ages selectively induce monocyte migration across intact endothelial cell monolayer iii subsequent monocyte interaction age containing matrix results expression platelet derived growth factor results support existing hypothesis vivo forming glucose derived protein adducts act signals normal turnover senescent tissue protein means age specific receptor system time dependent glucose induced deposition ages matrix proteins may promote monocyte infiltration subendothelium subsequent age triggered macrophage activation consequent elaboration proliferative factors may normally coordinate remodeling may also lead diverse pathogenic changes typical arterio atherosclerosis diabetic aging populations,C19,0.0012961489,0.0010735363,0.0022869464,0.0006799801,0.019269813,0.0015618677,0.32288682,0.15016302,0.0067138793,0.0011891242,0.01920045,0.002571805,0.022037193,0.07885383,0.0010642476,0.037027836,0.028366871,0.06291479,0.013084514,0.0992082,0.112311326,0.00042970947,0.015808038
iodine selenium deficiency associated cretinism northern zaire selenium status determined endemic goiter area control area zaire compared reference values noniodine deficient area serum selenium subjects living core northern zaire endemic goiter belt karawa villages seven times lower school children similarly low cretins erythrocyte glutathione peroxidase rbc gpx five times lower schoolchildren still two times lower cretins p less severely iodine deficient city endemia businga selenium status moderately altered rbc gpx activity linearly associated serum selenium concentration value nmol l leveled approximately u g hb greater selenium concentration karawa villages selenium supplementation normalized serum selenium rbc gpx combined iodine selenium deficiency could associated elevated frequency endemic myxedematous cretinism central africa,C19,0.0023021617,0.0020421322,0.015407504,0.0012934906,0.003205687,0.0029710594,0.071560405,0.0021649806,0.0016643603,0.18595456,0.010692377,0.0047471877,0.19292074,0.0053700097,0.024293732,0.0035849444,0.02162538,0.0023708446,0.0026213496,0.10353823,0.2950059,0.0008174139,0.043845564
management primary hypothyroidism primary hypothyroidism common condition requiring lifelong treatment monitoring type amount thyroid hormone replacement selection laboratory tests timing office visits important optimizing patient well reducing costs medical care aim treatment bring patient euthyroid state currently defined normal serum concentration tsh recently developed sensitive specific immunometric assays accomplished titrating dose levothyroxine changing often week intervals indicator euthyroidism sensitive tsh assay advantages tests serum ft ft tsh ria independent tbg changes result pregnancy birth control pills estrogen replacement spuriously elevated levothyroxine treatment test detects subclinical hypothyroidism subclinical hyperthyroidism additional serum tests usually necessary advantages special circumstances optimal replacement dose determined monitoring done yearly even bi yearly depending adequacy patient education patient compliance,C19,0.01127285,0.011299271,0.020819942,0.0011087147,0.0027477003,0.0025465933,0.45056877,0.0018556764,0.0014265783,0.0019388426,0.07399331,0.013908303,0.017124288,0.030552382,0.0017352339,0.0030785115,0.10564974,0.0020330495,0.0022468453,0.05694342,0.18441698,0.0007006325,0.002032393
interrelationships age thyroid volume thyroid nodularity thyroid function patients sporadic nontoxic goiter purpose test hypothesis natural history sporadic nontoxic goiter sng diffuse goiter precedes multinodular goiter gradual development autonomous thyroid function patients methods cross sectional survey consecutive patients sng seven male female performed thyroid volume measured ultrasonography plasma thyroid stimulating hormone tsh sensitive assay tsh immunoradiometric assay results patients multinodular goiter older larger thyroid volume patients diffuse uninodular goiter plasma free thyroxine total triiodothyronine higher plasma tsh lower patients normal subjects free higher subgroup patients multinodular goiter decreased tsh response thyrotropin releasing hormone plasma tsh mu l negatively related thyroid volume x ml x r p less thyroid volume ml positively related age x years x r p less duration goiter x years x r p less annual increase thyroid volume calculated conclusion data suggest continuous growth sng provide support concept increasing thyroid nodularity autonomy thyroid function related increasing thyroid volume natural history disorder,C19,0.0018491208,0.0016402624,0.011530563,0.0010389456,0.002575596,0.022979422,0.11959018,0.0017389357,0.0013368321,0.0018168698,0.073122405,0.15433459,0.20556661,0.034774765,0.0016260959,0.0028794657,0.118547656,0.0019046575,0.011051784,0.08071673,0.14681962,0.00065655564,0.0019023074
structural abnormality ldl diabetic patients revealed resonance raman spectroscopy resonance raman spectra low density lipoprotein ldl isolated plasma diabetic patients age range yr mean age yr age sex matched control subjects recorded cm region function temperature degrees c nondiabetic diabetic ldl yield spectra characterized two major bands near cm due carotenoid component lipoproteins relative intensity cm bands assigned c c c c stretchings respectively e ratio plotted temperature nondiabetic control subjects plots showed inflection temperature range degrees c corresponded thermal transition ldl transition abolished ldl diabetic patients p less suggesting altered lipid structure transition degrees c also abolished vitro glycosylated nondiabetic ldl lipid analysis show appreciable change nondiabetic control subjects diabetic patients change thermal transition properties diabetic ldl attributed organizational change ldl protein,C19,0.0017718398,0.0015702657,0.09153685,0.0009946096,0.0024774906,0.0022845499,0.11095818,0.0016647282,0.0012797839,0.0017433657,0.020065617,0.003703882,0.17795287,0.0041220877,0.29000002,0.071303666,0.05928391,0.028717902,0.0020156458,0.029843504,0.07816616,0.00062853773,0.017914528
defective fasciculata zone function mechanism glucocorticoid remediable aldosteronism glucocorticoid remediable aldosteronism characterized unusual sensitivity aldosterone secretion acth suppressibility glucocorticoid continued stimulability exogenous acth provided basis diagnosis treatment disorder qualitative biochemical abnormality consisting marked overproduction products cortisol c oxidation pathway hydroxycortisol oxocortisol examined patients disorder compared normal c oxidation products corticosterone aldosterone hydroxycorticosterone technique based stable isotope dilution mass fragmentography measured tetrahydro urinary metabolites aldosterone hydroxycorticosterone oxocortisol unmetabolized hydroxycortisol c oxygenated corticosteroids markedly elevated untreated state showed rapid parallel suppression low doses glucocorticoid proportional changes c oxygenated cortisols together aldosterone hydroxycorticosterone suggested mechanism common catalytic site cytochrome p methyl oxidase serving cortisol corticosterone substrates acth dependent secretion c oxidation products corticosterone cortisol disorder attributed acquisition methyl oxidase activity fasciculata zone abundant pools precursors,C19,0.001954072,0.0017333593,0.26888356,0.0010979132,0.0027209832,0.01183729,0.3042792,0.0018376329,0.001412707,0.0019199904,0.027241629,0.013473172,0.026178358,0.014754491,0.0017183615,0.05033359,0.026515935,0.0020158624,0.0022249983,0.013371945,0.22177221,0.00069381995,0.0020289244
